year,quarter,entity_type,entity_name,count,amount
2022,1,pincode,462008,119378084,172143368941.8931
2022,1,pincode,110006,112708284,170854549748.09644
2022,1,pincode,444510,69862188,129741278088.80704
2022,1,pincode,800001,68427326,126972470461.14954
2022,1,pincode,600003,62446149,95888452779.63263
2022,1,pincode,751001,58525215,91210203433.81744
2022,3,district,hyderabad,1018658174,1586047443981.7903
2022,3,district,bengaluru urban,738035161,930886457807.8191
2022,3,district,pune,505018506,549531791371.8348
2022,3,district,jaipur,377469909,564818218571.2906
2022,3,district,central delhi,243139962,327191972497.86694
2022,3,district,mumbai suburban,197724164,247678975470.48975
2022,3,district,patna,188665398,298860414441.2887
2022,3,district,khordha,182514532,234713995654.54218
2022,3,district,chhindwara,169367916,236429180484.7117
2022,3,district,rangareddy,169029273,272598081405.12262
2022,3,pincode,500034,832279716,1276247184385.9084
2022,3,pincode,110006,222465526,294132832922.7636
2022,3,pincode,302012,220682742,322546632329.7969
2022,3,pincode,411033,217102802,241609848561.36987
2022,3,pincode,480001,164538285,229267141662.06653
2022,3,pincode,560027,160449902,217879670192.8064
2022,3,pincode,800001,143978604,226644911906.22284
2022,3,pincode,400070,137051260,170363147506.6858
2022,3,pincode,751001,123281915,161654599037.78528
2022,3,pincode,700039,82900479,153815755896.1881
2022,2,district,bengaluru urban,786978117,1013933810932.2711
2022,2,district,pune,520321567,620747087392.5974
2022,2,district,hyderabad,446470234,775908693266.7238
2022,2,district,jaipur,314511010,497492495896.22046
2022,2,district,bhopal,185588829,255910395858.58392
2022,2,district,rangareddy,161888380,267052522620.51453
2022,2,district,central delhi,159034619,232911858055.0848
2022,2,district,medchal malkajgiri,134114768,221257316347.71973
2022,2,district,mumbai suburban,125227570,172590494011.93738
2022,2,district,khordha,124986765,174299128204.99298
2022,2,pincode,500001,296874552,536659038240.45605
2022,2,pincode,560001,271515853,367011500113.69904
2022,2,pincode,411004,262731186,356436998068.0399
2022,2,pincode,302016,181570316,290408785688.9401
2022,2,pincode,110006,139136098,200269818218.75818
2022,2,pincode,462008,137837715,198147341166.69937
2022,2,pincode,444510,93575752,168031360482.06287
2022,2,pincode,800001,90260337,162195041186.36075
2022,2,pincode,600003,75241472,108938946466.4329
2022,2,pincode,751001,69262961,101369063330.80547
